"CreationDate";"Body";"Title";"Tags";"Respondida"
"2016-05-31 07:31:02";"<p>I want to write a method that removes a node from a binary search tree. </p><p>This is my method:  </p><p><div class='snippet' data-lang='js' data-hide='false' data-console='true'><div class='snippet-code'><pre class='snippet-code-js lang-js prettyprint-override'><code>public void remove(Node node)	//Removes a given node and puts one of the nodes below it in its place until it reaches the end	{				if (node.left != null) //If the node to the left is not empty		{			node.value = node.left.value; //Moves up the left node to take its place			remove(node.left); //Goes to the next node			if (node.left.right == null &amp;&amp; node.left.left == null)				node.left = null; //Removes the last node at the end of the tree after moving it up		}		else if (node.right != null) 		{			node.value = node.right.value; //Moves up the left node to take its place			remove(node.right); //Goes to the next node			if (node.right.left == null &amp;&amp; node.right.right == null)				node.right = null; //Removes the last node at the end of the tree after moving it up					}				}</code></pre></div></div></p><p>The problem is it only works in some cases. </p><p>Let's say for example that I enter  60, 70, 65. (Root node is 50)The tree should look something like</p><pre><code>   50  /       60    /           70       /        65</code></pre><p>Lets then say I choose to remove 60. This seems to work fine at first.However if I then run my search method, which I trust, returns that 70 has no nodes at any of it pointers. </p><p>What I'm assuming is happening is that 70 is set to null before 65 can be moved up. And since 65 is technically no longer connected to the tree, the search method cannot find it. </p><p>So something like this:</p><pre><code>   50  /       70    /          /        65</code></pre><p>The problem is, I don't understand how this could be happening. Especially since it should set the node to null if both its pointers point to null, due to the if statements </p><pre><code>if (node.left.right == null &amp;&amp; node.left.left == null)                node.left = null;</code></pre><p>and </p><pre><code>if (node.right.left == null &amp;&amp; node.right.right == null)                node.right = null;</code></pre><p>Also, if the first if statement is not true (if left != null), shouldn't it simply continue to the 'else' (and remove the right one) insted?</p><p>Any suggestions or tips are very welcome. </p>";"BST remove node method 'cuts off' rest of tree";"<java><tree><binary-search-tree>";"S"
"2011-11-13 10:34:16";"<p>I'm parsing the html code of a webpage and grabbing all the links mentioned as hrefs using regex, but some websites for instance wikipedia, mention certain hrefs in the html code as a paraphrase for example:</p><p>code says:</p><p><code>href='#cite_note-Types_of_Test_Item_Formats-</code></p><p>but link is actually:<a href='http://en.wikipedia.org/wiki/Test_(assessment)#cite_note-Types_of_Test_Item_Formats-15' rel='nofollow'>http://en.wikipedia.org/wiki/Test_(assessment)#cite_note-Types_of_Test_Item_Formats-15</a></p><p>how can I get to these links using only webpage source?</p><p>EDIT: coding in java</p><p>Any Help is appreciated</p>";"how to grab actual links directed by hrefs";"<java><html_><parsing><href>";"S"
"2015-04-11 16:23:28";"<p>All the operating systems till date have been written in C/C++ while there is none in Java. There are tonnes of Java applications but not an OS. Why? </p>";"Why operating systems are not written in java?";"<java>";"S"
"2013-04-25 18:47:41";"<p>I am working on migrating an application originally written using EJB3 persistence (JPA 1.0) on JBoss SOA server version 5.2 so that it uses type safe queries and criteria queries from JPA 2.0 (Hibernate Implementation). So far, I have been completely unable to get the EAR to deploy because it cannot find the proper version of the javax.persistence libraries. The error shows that it cannot find the class javax.persistence.criteria.Expression. From what I can see it is loading the javax.persistence classes from the ejb3-persistence library which is built into JBoss. I have tried various methods which are supposed to cause JBoss to use the application libraries first, but to no avail. Any help would be appreciated.</p><p>Methods I have tried:</p><ol><li>Adding a '&lt;loader-repository&gt;' configuration to the jboss-app.xml file</li><li>Adding a jboss-classloading.xml file to the EAR's META-INF folder</li><li>Modifying the ear-deployer-jboss-beans.xml file to use isolated classes.</li></ol>";"How can I deploy JPA 2 applications on JBoss SOA 5.x?";"<java><jpa><jboss><classloader><ear>";"S"
"2013-04-25 18:47:43";"<p>As the title says, what is the prefered way of saving an uploaded file in a Java EE web application? I read some answers on other questions that saving the file to the filesystem of the servlet container is not recommended without further explanation. Some say you should save it to a database (but I doubt that from what I have read earlier) and some say that you should use JCR where the only implementation I can find is Apache JackRabbit, which doesn't seem to be very active?</p><p>What would be the best option? Are there other than those mentioned? Reasons why you would choose one over the other is appriciated.</p>";"What is the prefered way of saving an uploaded file in Java EE application?";"<java><spring><java-ee><spring-mvc>";"S"
"2014-06-17 07:31:28";"<p>I need to copy all <code>compileTest</code> 3rd party dependencies jars from all projects to a separate directory. But I need <strong>only direct dependencies</strong>, not inherited from a super configurations, i.e. I don't need dependendencies from <code>compile</code> configuration.</p><p>'Default' approach like the following doesn't work for me.</p><pre><code>task copyTestLibs(type: Copy) {    into('libs-test')    def javaProjects = subprojects.findAll { it.plugins.hasPlugin('java') }    from javaProjects*.configurations.testCompile}</code></pre><p>So is there any way to copy configuration's direct dependencies without inherited ones?</p>";"Gradle: How to copy all dependencies jar files from a specified configuration without inherited";"<java><gradle>";"S"
"2014-02-08 04:00:26";"<p>I am trying to figure out the best way to read in 3 integers from 0 to 9 with no spaces. Eventually I will have to check the input to make sure there are no duplicates or letters and that 3 numbers have been entered. This is what I've tried so far. Would it be better to read in the input as a string then put the numbers in an integer array? Any tips would be greatly appreciated.</p><pre><code> Scanner guess = new Scanner(System.in); int[] array = new int[4];  System.out.println('Enter 3 numbers from 0 to 9'); while (guess.hasNextInt()) {        array[i] = guess.nextInt();        i++;        if (i == 3) {           break;        }    }</code></pre>";"How to read in 3 numbers with no spaces into an array";"<java>";"S"
"2013-09-22 05:17:09";"<p>Consider the following</p><pre><code>public byte GetAByte(){    return (byte)(_globalByte % 13);}</code></pre><p>Note that the following will not work and throws an error.</p><pre><code>    return (_globalByte % (byte)13);</code></pre><p>Here the mod operator is returning an integer, which needs to be casted back to a byte for the return statement to work. Correct me if I'm wrong, but I am guessing that the _globalByte is casted to an integer before the modulus is calculated. This in total, means 2 casting operations.</p><p>So my question is why do the basic operators have to return an integer every time? Is this is a quirk specific to java, or is there some importance for doing it this way?</p>";"Manipulating integral values in java without Integer casting?";"<java>";"S"
"2015-04-11 16:29:33";"<p>i'm actually coding pacman for a project, but i've encountered an issue, when i've added this part :</p><pre><code>@Overridepublic void keyPressed(KeyEvent e){    dir=e.getKeyCode();}</code></pre><p>The program doesn't call that specific method that i need in order to get the right direction and then put it in the update one. </p><p>Here is the full code wich i'm still working on : </p><pre><code>    import java.awt.Graphics;    import org.game.engine.Game;    import java.awt.Graphics2D;    import java.awt.event.KeyEvent;    import java.awt.image.BufferedImage;    import java.io.File;    import java.io.IOException;    import javax.imageio.ImageIO;    import org.game.engine.GameApplication;public class Pacman extends Game  {BufferedImage pacman;int frame;int dir;int x,y;final int STEP=2;public static void main (String[] args){    GameApplication.start(new Pacman());}public  Pacman(){    title='Pacman';    width=height=500;    dir=KeyEvent.VK_RIGHT;    x=300;    y=200;    try {        pacman = ImageIO.read(new File('pacman.png'));    } catch (IOException e) {        e.printStackTrace();    }}public void keyPressed(KeyEvent e){    dir=e.getKeyCode();}@Overridepublic void update() {    frame++;    if(frame&gt;2){        frame=0;    }    **switch(dir){        case KeyEvent.VK_LEFT:            x-=STEP;            break;        case KeyEvent.VK_RIGHT:            x+=STEP;            break;**    }        if(x&lt;0){            x=0;        }        else if(x&gt; width -28-15){            x= width-28-15;        }}@Overridepublic void draw(Graphics g) {    g.drawImage(pacman.getSubimage(frame*30,0,28,28),x,y,null);}@Overridepublic void init() {}</code></pre><p>}    </p><p>EXTRA Details : So basically in order to run the project i've a game engine that helps me to process the shape of the game. In order to do that i have 4 classes : </p><p><strong>1/ Game Application :</strong> </p><pre><code>package org.game.engine;import javax.swing.JFrame;public class GameApplication {static public void start (Game jeu) {    JFrame fenetre=new JFrame(jeu.getTitle());    fenetre.setSize(jeu.getWidth(),jeu.getHeight());    fenetre.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);    GameCanvas canvas=new GameCanvas(jeu);    fenetre.add(canvas);    fenetre.setVisible(true);    GameLoop loop= new GameLoop(jeu,canvas);    loop.start(); }}</code></pre><p><strong>2/ GameCanvas</strong> </p><pre><code>package org.game.engine;import java.awt.Graphics;import java.awt.event.KeyEvent;import java.awt.event.KeyListener; import javax.swing.JComponent;public class GameCanvas extends JComponent{private final Game game;public GameCanvas(Game game) {    this.game=game;    **addKeyListener(this.game);**     requestFocus();}@Overridepublic void paintComponent(Graphics g){    game.draw(g);}}</code></pre><p><strong>3/ Game Loop</strong></p><pre><code>package org.game.engine;public class GameLoop extends Thread {   private final Game game;   private final GameCanvas canvas;  public GameLoop(Game game, GameCanvas canvas) {    this.game=game;    this.canvas=canvas;   }@Overridepublic void run() {    game.init();    while(!game.isOver()){        game.update();        canvas.repaint();        try {            Thread.sleep(game.getDelay());        } catch (InterruptedException e) {        }     }  } }</code></pre><p>And finally the game itself : </p><p><strong>4/ Game</strong> </p><pre><code>package org.game.engine;import java.awt.Graphics;**import java.awt.event.KeyEvent; import java.awt.event.KeyListener;**public abstract class Game **implements KeyListener**{protected boolean over;protected int delay=50;protected int width=500;protected int height=500;protected String title='Mon jeu';abstract public void update();abstract public void draw(Graphics g);abstract public void init();public int getWidth(){ return width;}public int getHeight(){return height;}public String getTitle(){return title;}public boolean isOver(){ return over;}public long getDelay(){ return delay;}**public void keyTyped(KeyEvent e){}public void keyPressed(KeyEvent e){}public void keyReleased(KeyEvent e){}**}</code></pre><p>The 1/ Game Application is for the execution part of the process (layout display etc..)The 2/ Game Canvas is there in order to draw the content of the window, besides <strong>it also calls the Keylistener by : addKeyListener(this.game);</strong> The 3/ Game Loop contains the main loop of the programm in the run methodAnd finally the 4/ Game contains all the basic parametres of the programm such as the title the size and <strong>it also implements the Keylisteners.</strong></p><p>Have a nice evening, Thanks for your participations ! </p>";"How to run a KeyListener at the same time than the other methods?";"<java>";"S"
"2014-02-08 04:48:24";"<p>When I want to close InputFileStream and OutputFileStream objects, eclipse says that I need to catch IOException so here is my code after catching those exceptions.As you can see I am catching IOException twice. Is there a more simple way that I can have only one block for catching IOException for both in.close() and in.read() ? </p><pre><code>public class ByteStream {public static void main(String[] args) {    FileInputStream in = null;    try {        in = new FileInputStream('testdata.txt');        int nextByte;        while((nextByte = in.read()) != -1){            System.out.println(nextByte + '-');        }    } catch (FileNotFoundException e) {        e.printStackTrace();    } catch (IOException e) {        e.printStackTrace();    } finally {        if (in != null){            try {                in.close();            } catch (IOException e) {                // TODO Auto-generated catch block                e.printStackTrace();            }        }    }}</code></pre><p>}</p>";"closing FileInputStream object throws exception";"<java><ioexception><fileinputstream>";"S"
"2012-05-23 18:38:10";"<p>I installed a standard executable jar file as a Windows service by running the following command:</p><pre><code>&gt; prunsrv.exe //IS//'My Service' --Install='C:path-to-prunsrv.exe' --Jvm=auto   --Startup=auto --StartMode=jvm --Classpath='C:path-to-MyService.jar'   --StartClass=com.mydomain.MyService</code></pre><p>I can now run my program fine in console mode by running the following command (I'm using Java 1.6):</p><pre><code>&gt; prunsrv.exe //TS//'My Service'</code></pre><p>When I try to start the service through the standard Windows services interface, I get the following error message:</p><p><em>The MyService service on Local Computer started and then stopped. Some services stop automatically if they are not in use by other services or programs.</em></p><p>There is no output in my application's log file when I attempt to start the service this way. There is also no output in the Window's event log (Windows 7 64-bit).  What can I do to try and figure out why this service will not run?</p>";"Windows service installed with Procrun works in //TS mode, but doesn't start as a Windows service saying it 'started and then stopped'";"<java><windows-services><executable-jar><procrun>";"S"
"2012-05-23 18:42:48";"<p>I'm working with the Struts2 framework and would like to unit test the <code>execute</code> method below:</p><pre><code>public String execute() {    setDao((MyDAO) ApplicationInitializer.getApplicationContext().getBean('MyDAO'));    setUserPrincipal(); //fetches attribute from request and stores it in a var    setGroupValue(); //    setResults(getMyDao().getReportResults(getActionValue(), getTabName());    setFirstResultSet((List) getResults()[0]);    setSecondResultSet((List) getResults()[1]);    return SUCCESS;}</code></pre><p>As you can see most of the logic is database related. So how would I go about unit testing this functionality? I would like to unit test by mocking a <code>HTTPServletRequest</code> with few request variables inside it. </p><p>My questions are:</p><ul><li>How can I fake/mock a request variable as if its coming from a browser</li><li>Should my unit test be calling the actual DAO and making sure that the data is coming back?</li><li>If so, how can I call the DAO from unit test since the DAO is tied to the server since jndi pool settings reside on the application server. </li></ul><p>I'd appreciate any book/article that shows how to really accomplish this. </p>";"How can I unit test this method in java?";"<java><spring><unit-testing><dao>";"S"
"2011-04-03 13:36:16";"<p>I have the following homework problem: </p><blockquote>  <p>Write an application integer on that  reads an integer and determines and  prints whether it is odd or even.</p></blockquote>";"Arithmetic in java";"<java>";"S"
"2014-06-17 07:37:55";"<p>I am using liferay 6.2 for migrating my existing web application to liferay.I have done below things:-->created my own theme extending the _styled theme</p><p>-->customized the navigation to have fixed sidebar on the left and content area on the right. </p><p>-->Added 3 web content display portlets dynamically and added the content into each of them.</p><p>I have all the portlets residing on the same page,these are traversed by using navigation bar on the left side. Now I have new requirement to show content depending on the client.</p><p>For e.g. I have 3 client's data right now mixed all together across all portlets ,I have requirement to segregate all the content.For e.g. If user logging in work for X client ,he/she should only see the relevant content . If there is some content which is common to all it should be displayed as it is. </p><p>There should also be a way to add/remove client at runtime.Is liferay multi-site capability something I can make use of? </p><p>How can I go ahead and achieve this? Any inputs will be highly appreciated.</p>";"Managing content in liferay";"<java><liferay><liferay-6><liferay-theme>";"S"
"2016-01-20 10:32:54";"<p>I'm using javas generics and I want to use Java 8 Optional . </p><p>All I need is that I can use this Optional, what contains a K class extending/implementing the XYInterface. </p><p>Here is my example code:</p><pre><code>import java.util.Optional;public class OptionalGeneric&lt;Optional&lt;K extends InterfaceXY&gt;&gt; {       ...public Optional&lt;K&gt; getOptionalItem(){...}}</code></pre><p>Eclipse shows always a warning:</p><blockquote>  <p>The type Optional is not generic; it cannot be parameterized with  arguments </p></blockquote><p>How should I write this class to get the item?</p>";"Generics with Optionals";"<java><generics><optional>";"S"
"2011-04-03 12:47:01";"<p>do you know if there is anyway that I can populate a javabean but i don't want to use reflection.</p><p>For example I have this xml template to pouplate it</p><p>Sample XML File</p><pre><code>&lt;property name = 'card' value = 'cdd'/&gt;public class Customer {    private String card;     public void setCard(String card) {          this.card = card;     }     public String getCard() {     }}</code></pre><p>I want to call setCard on the Java bean but  I don't want to use reflectionsince I've used it before and it's quite slow,</p><p>Are there any alternatives? How does Hibernate do it for example?</p><p>ThanksCarlo</p>";"How To Populate A JavaBean Other Than Using Reflection";"<java><reflection><javabeans><java-bytecode-asm>";"S"
"2014-11-10 12:43:44";"<p>I hope you can help me. I get an NullPointerExeption when I want to Put the NodeList / Node to my Map:</p><pre><code>Map &lt;String, NodeList&gt; config = null; public void loadConfiguration() {    helper helper = new helper();    NodeList nodes = null;    nodes = helper.getXPathFromFile('/root/*', 'conf/config.xml');    if (nodes.getLength() &gt; 0) {        for (int i = 0; i &lt; nodes.getLength(); i++) {            String NodeName = nodes.item(i).getNodeName();            NodeList NodeItem = (NodeList) nodes.item(i);            System.out.println(NodeName); // Here the right Name puts out            System.out.println(helper.nodelistToString(NodeItem)); // here right inside XML-Code put out            config.put(NodeName, NodeItem); // Here comes the NullPointerEx.        }    }}</code></pre>";"Why I get a nullPointerExeption?";"<java><xmlnode><xmlnodelist>";"S"
"2014-11-10 12:58:39";"<p>I have a <code>Response</code> class which contains some basic attributes and a wildcard <code>Collection&lt;?&gt;</code>.</p><pre><code>@XmlRootElement@XmlAccessorType(XmlAccessType.FIELD)public class Response {    private String approved;    private String errorCode;    @XmlAnyElement(lax = true)    private Collection&lt;?&gt; collection;    public Response() {    }    public Response(String approved, Collection&lt;?&gt; collection) {        this.approved = approved;        this.collection = collection;    }    public String getApproved() {        return approved;    }    public String getErrorCode() {        return errorCode;    }    public Collection&lt;?&gt; getCollection() {        return collection;    }}</code></pre><p>This collection can contain many types, for example this type:</p><pre><code>@XmlRootElement@XmlAccessorType(XmlAccessType.FIELD)public class Transaction {    private BigDecimal amount;    private String transactionId;    public Transaction(BigDecimal amount, String transactionId ) {        super();        this.amount = amount;        this.transactionId = transactionId ;    }    public Transaction() {        super();    }    public BigDecimal getAmount() {        return amount;    }    public String getTransactionId() {        return transactionId;    }    public void setAmount(BigDecimal amount) {        this.amount = amount;    }    public void setTransactionId(String transactionId) {        this.transactionId = transactionId;    }}</code></pre><p>When serializing the <code>Response</code> class, I get this XML. </p><pre><code>&lt;?xml version='1.0' encoding='UTF-8'?&gt;&lt;response&gt;   &lt;approved&gt;00&lt;/approved&gt;   &lt;errorCode&gt;&lt;/errorCode&gt;   &lt;transaction&gt;      &lt;amount&gt;500.00&lt;/amount&gt;      &lt;transactionId&gt;pgka3902&lt;/transactionId&gt;   &lt;/transaction&gt;   &lt;transaction&gt;      &lt;amount&gt;201.05&lt;/amount&gt;      &lt;transactionId&gt;abcd3020&lt;/transactionId&gt;   &lt;/transaction&gt;&lt;/response&gt;</code></pre><p>Adding <code>@XmlElementWrapper</code> wraps <code>&lt;transaction&gt;</code> elements in <code>&lt;collection&gt;</code> which is not acceptable still. <strong>I need the wrapper to be named the plural of the actual type in collection</strong>. For example, the above xml should be:</p><pre><code>&lt;?xml version='1.0' encoding='UTF-8'?&gt;&lt;response&gt;   &lt;approved&gt;00&lt;/approved&gt;   &lt;errorCode /&gt;   &lt;transactions&gt;      &lt;transaction&gt;         &lt;amount&gt;500.00&lt;/amount&gt;         &lt;transactionId&gt;pgka3902&lt;/transactionId&gt;      &lt;/transaction&gt;      &lt;transaction&gt;         &lt;amount&gt;201.05&lt;/amount&gt;         &lt;transactionId&gt;abcd3020&lt;/transactionId&gt;      &lt;/transaction&gt;   &lt;/transactions&gt;&lt;/response&gt;</code></pre><p>Is it possible to do this with JAXB? I'm using Eclipselink Moxy implementation.</p>";"Collection<?> wrap elements in plural name of actual type in JAXB";"<java><xml><jaxb><eclipselink><moxy>";"S"
